Date,Open,High,Low,Close,Volume
03/14/2024,"1,483.70","1,485.00","1,481.99","1,482.01","87,336"
03/13/2024,"1,485.00","1,492.77","1,483.00","1,485.00","17,817"
03/12/2024,"1,483.00","1,492.78","1,483.00","1,492.77","30,967"
03/11/2024,"1,490.00","1,490.00","1,483.00","1,483.01","8,362"
03/07/2024,"1,485.00","1,490.00","1,480.00","1,489.99","32,677"
03/06/2024,"1,490.02","1,498.84","1,485.00","1,485.01","22,677"
03/05/2024,"1,490.00","1,499.34","1,485.00","1,490.02","30,156"
03/04/2024,"1,495.00","1,496.90","1,489.00","1,491.00","15,480"
03/01/2024,"1,489.43","1,497.00","1,485.00","1,495.00","29,144"
02/29/2024,"1,484.00","1,497.83","1,483.00","1,490.00","28,597"
02/28/2024,"1,485.00","1,493.00","1,482.00","1,488.00","83,292"
02/27/2024,"1,485.34","1,497.90","1,484.50","1,490.00","18,636"
02/26/2024,"1,492.00","1,499.34","1,480.00","1,499.34","130,119"
02/23/2024,"1,488.01","1,500.00","1,488.00","1,497.50","30,317"
02/22/2024,"1,475.00","1,504.50","1,475.00","1,491.00","221,025"
02/21/2024,"1,470.00","1,489.75","1,458.00","1,485.00","69,285"
02/20/2024,"1,454.00","1,470.00","1,448.00","1,470.00","47,925"
02/19/2024,"1,459.00","1,460.50","1,445.00","1,454.38","33,090"
02/16/2024,"1,440.05","1,459.00","1,440.00","1,459.00","45,111"
02/15/2024,"1,446.00","1,454.40","1,440.00","1,447.00","62,546"
02/14/2024,"1,423.01","1,458.60","1,423.01","1,446.00","45,345"
02/13/2024,"1,408.00","1,440.00","1,408.00","1,427.00","43,540"
02/12/2024,"1,397.00","1,424.94","1,388.00","1,408.00","29,824"
02/09/2024,"1,377.00","1,398.85","1,377.00","1,398.00","35,784"
02/08/2024,"1,363.00","1,387.20","1,363.00","1,377.00","52,209"
02/07/2024,"1,364.00","1,373.10","1,361.00","1,363.99","19,078"
02/06/2024,"1,365.01","1,372.59","1,365.01","1,365.02","12,699"
02/05/2024,"1,370.00","1,377.64","1,364.00","1,365.00","28,930"
02/02/2024,"1,382.50","1,387.00","1,370.00","1,370.00","26,873"
02/01/2024,"1,392.84","1,392.84","1,375.00","1,382.50","44,402"
01/31/2024,"1,391.00","1,396.82","1,385.00","1,392.84","23,833"
01/30/2024,"1,399.86","1,412.00","1,390.00","1,392.00","39,757"
01/29/2024,"1,375.00","1,402.50","1,364.00","1,402.00","75,963"
01/26/2024,"1,397.00","1,397.40","1,362.00","1,375.50","113,729"
01/25/2024,"1,403.02","1,409.00","1,370.00","1,397.40","97,097"
01/24/2024,"1,439.00","1,439.00","1,403.00","1,410.00","71,193"
01/23/2024,"1,455.00","1,455.01","1,440.00","1,440.00","66,417"
01/22/2024,"1,467.00","1,467.00","1,455.01","1,455.01","64,593"
01/19/2024,"1,477.00","1,477.05","1,465.00","1,467.00","70,692"
01/18/2024,"1,477.00","1,478.10","1,476.50","1,477.05","18,159"
01/17/2024,"1,481.00","1,482.00","1,478.00","1,478.10","22,159"
01/16/2024,"1,481.00","1,481.10","1,478.00","1,478.00","29,415"
01/15/2024,"1,482.00","1,482.99","1,479.00","1,481.00","53,720"
01/12/2024,"1,482.00","1,482.00","1,480.00","1,482.00","32,454"
01/11/2024,"1,480.00","1,482.00","1,479.00","1,482.00","21,388"
01/10/2024,"1,482.00","1,482.30","1,479.00","1,482.00","40,487"
01/09/2024,"1,482.00","1,482.50","1,480.00","1,482.00","53,223"
01/08/2024,"1,482.00","1,483.00","1,480.00","1,482.00","37,062"
01/05/2024,"1,482.00","1,482.15","1,480.00","1,482.00","24,401"
01/04/2024,"1,482.00","1,482.01","1,480.00","1,482.00","48,564"
01/03/2024,"1,482.00","1,483.00","1,481.00","1,482.01","31,182"
12/29/2023,"1,482.00","1,482.00","1,478.99","1,482.00","25,520"
12/28/2023,"1,483.00","1,483.00","1,475.00","1,482.00","29,044"
12/27/2023,"1,482.00","1,483.00","1,479.00","1,483.00","144,206"
12/26/2023,"1,482.00","1,485.00","1,481.00","1,482.10","102,391"
12/25/2023,"1,482.00","1,483.00","1,479.10","1,482.01","167,135"
12/22/2023,"1,481.00","1,482.00","1,479.00","1,482.00","39,124"
12/21/2023,"1,482.00","1,482.00","1,475.00","1,482.00","72,409"
12/20/2023,"1,482.00","1,483.00","1,481.00","1,482.00","53,140"
12/19/2023,"1,482.00","1,483.00","1,481.00","1,482.00","86,987"
12/15/2023,"1,482.00","1,484.00","1,482.00","1,482.00","45,051"
12/14/2023,"1,482.00","1,484.70","1,482.00","1,482.50","43,613"
12/13/2023,"1,482.00","1,483.00","1,480.00","1,482.00","58,375"
12/12/2023,"1,482.00","1,483.00","1,481.00","1,482.00","121,022"
12/11/2023,"1,482.00","1,484.00","1,481.50","1,482.00","53,054"
12/08/2023,"1,482.00","1,483.90","1,482.00","1,482.00","29,150"
12/07/2023,"1,482.00","1,483.00","1,482.00","1,482.00","12,913"
12/06/2023,"1,482.00","1,485.00","1,475.00","1,482.00","45,799"
12/05/2023,"1,482.00","1,482.01","1,482.00","1,482.00","48,032"
12/04/2023,"1,482.00","1,482.01","1,480.00","1,482.00","109,716"
12/01/2023,"1,482.00","1,485.00","1,481.00","1,482.01","60,549"
11/30/2023,"1,475.00","1,486.72","1,475.00","1,486.71","62,712"
11/29/2023,"1,480.00","1,480.45","1,475.00","1,475.00","62,122"
11/28/2023,"1,481.00","1,485.00","1,480.00","1,480.44","36,073"
11/27/2023,"1,482.00","1,482.00","1,479.00","1,481.00","52,672"
11/24/2023,"1,482.01","1,482.50","1,480.00","1,482.00","112,329"
11/23/2023,"1,482.50","1,485.00","1,482.10","1,484.50","30,474"
11/22/2023,"1,482.10","1,485.10","1,482.00","1,482.50","79,210"
11/21/2023,"1,485.00","1,488.00","1,482.00","1,485.10","58,975"
11/20/2023,"1,490.00","1,492.98","1,482.56","1,487.98","94,974"
11/17/2023,"1,493.00","1,495.00","1,482.00","1,490.00","139,300"
11/16/2023,"1,490.00","1,495.00","1,490.00","1,493.00","55,101"
11/15/2023,"1,495.00","1,497.98","1,489.00","1,490.99","35,524"
11/14/2023,"1,490.00","1,498.94","1,489.00","1,489.01","22,187"
11/13/2023,"1,500.00","1,502.00","1,485.00","1,491.10","94,438"
11/10/2023,"1,560.00","1,560.00","1,500.00","1,500.00","161,744"
11/09/2023,"1,550.35","1,601.00","1,550.00","1,575.55","30,173"
11/08/2023,"1,576.93","1,585.70","1,550.00","1,550.00","34,114"
11/07/2023,"1,575.60","1,585.70","1,575.60","1,585.51","4,458"
11/06/2023,"1,565.60","1,575.60","1,565.58","1,575.60","6,841"
11/03/2023,"1,545.00","1,565.58","1,530.00","1,565.58","19,064"
11/02/2023,"1,538.23","1,545.00","1,538.00","1,545.00","26,283"
11/01/2023,"1,530.15","1,538.23","1,520.00","1,538.22","22,901"
10/31/2023,"1,523.00","1,530.15","1,515.00","1,530.15","13,771"
10/30/2023,"1,523.50","1,530.14","1,523.00","1,530.00","2,793"
10/27/2023,"1,514.99","1,525.09","1,514.50","1,523.50","5,395"
10/26/2023,"1,509.00","1,515.00","1,495.00","1,514.99","10,574"
10/24/2023,"1,504.90","1,509.95","1,490.11","1,509.95","6,866"
10/23/2023,"1,500.00","1,504.90","1,490.00","1,504.90","11,899"
10/20/2023,"1,510.00","1,515.00","1,500.00","1,503.00","7,332"
10/19/2023,"1,520.03","1,520.03","1,495.00","1,505.00","28,476"
10/18/2023,"1,519.24","1,520.04","1,513.00","1,520.03","2,985"
10/17/2023,"1,516.00","1,519.25","1,513.00","1,519.24","5,443"
10/16/2023,"1,515.00","1,517.02","1,500.10","1,516.00","5,708"
10/13/2023,"1,500.10","1,514.10","1,495.10","1,514.09","8,664"
10/12/2023,"1,508.95","1,509.95","1,500.00","1,500.00","18,694"
10/11/2023,"1,498.65","1,508.95","1,498.00","1,508.95","19,745"
10/10/2023,"1,498.64","1,498.65","1,490.00","1,498.65","13,804"
10/09/2023,"1,482.00","1,498.00","1,482.00","1,498.00","9,933"
10/06/2023,"1,473.93","1,489.75","1,473.93","1,475.00","17,516"
10/05/2023,"1,474.60","1,475.00","1,460.00","1,473.93","27,309"
10/04/2023,"1,464.50","1,483.10","1,450.00","1,474.60","22,959"
10/03/2023,"1,489.74","1,489.75","1,450.00","1,464.50","32,007"
10/02/2023,"1,489.75","1,489.75","1,480.00","1,489.73","12,421"
09/29/2023,"1,485.02","1,489.75","1,483.00","1,489.75","10,517"
09/28/2023,"1,504.90","1,504.90","1,485.01","1,485.02","13,805"
09/27/2023,"1,589.00","1,590.00","1,510.79","1,520.00","18,185"
09/26/2023,"1,588.00","1,591.76","1,576.00","1,590.00","14,009"
09/25/2023,"1,580.00","1,589.00","1,577.00","1,588.00","10,803"
09/22/2023,"1,575.00","1,580.65","1,575.00","1,580.00","2,312"
09/21/2023,"1,575.50","1,580.00","1,575.00","1,575.20","1,662"
09/20/2023,"1,574.00","1,575.60","1,560.01","1,575.00","3,263"
