date,open,high,low,close,volume
2022-03-14,1863.97,1864.0,1849.0,1850.01,3576069.33
2022-03-15,1851.0,1860.0,1851.0,1860.0,983940.0
2022-03-16,1860.0,1860.0,1849.03,1851.0,2173074.0
2022-03-17,1851.0,1860.0,1849.01,1851.0,1764003.0
2022-03-18,1851.0,1851.0,1850.0,1851.0,4172154.0
2022-03-24,1851.0,1851.0,1849.0,1850.0,1774150.0
2022-03-25,1850.0,1867.47,1849.0,1864.99,1741900.66
2022-03-28,1865.0,1867.48,1849.0,1866.95,1301264.1500000001
2022-03-29,1867.0,1867.48,1849.01,1867.48,907595.28
2022-03-30,1867.0,1867.49,1850.25,1867.0,4938215.0
2022-03-31,1867.0,1867.49,1849.0,1866.98,2158228.88
2022-04-01,1853.0,1867.49,1853.0,1867.49,1781585.46
2022-04-04,1867.49,1867.49,1855.01,1863.0,884925.0
2022-04-05,1855.27,1867.0,1855.27,1859.0,622765.0
2022-04-06,1860.0,1867.0,1855.11,1867.0,716928.0
2022-04-07,1860.0,1867.49,1850.0,1859.0,810524.0
2022-04-08,1850.01,1860.99,1850.01,1859.99,385017.93
2022-04-11,1849.0,1856.0,1706.01,1707.0,67957377.0
2022-04-12,1710.0,1725.0,1708.76,1722.91,5146332.17
2022-04-13,1707.0,1707.0,1675.0,1675.0,19522125.0
2022-04-14,1675.0,1679.99,1675.0,1679.99,1543910.81
2022-04-15,1679.99,1679.99,1670.0,1670.0,893450.0
2022-04-18,1679.99,1680.0,1670.0,1680.0,918960.0
2022-04-19,1680.0,1681.65,1665.0,1681.65,1912036.05
2022-04-20,1681.65,1681.65,1665.05,1681.65,1471443.75
2022-04-21,1681.65,1681.65,1665.0,1679.34,6912163.4399999995
2022-04-22,1679.34,1679.99,1665.1,1670.0,355710.0
2022-04-25,1670.0,1674.99,1665.05,1673.37,540498.51
2022-04-26,1666.0,1673.47,1666.0,1672.0,556776.0
2022-04-27,1672.0,1673.48,1660.0,1672.67,2490605.63
2022-04-28,1672.49,1672.67,1658.01,1660.0,2485020.0
2022-04-29,1665.0,1668.6,1655.0,1668.6,4960747.8
2022-05-03,1668.0,1668.0,1655.02,1667.22,778591.74
2022-05-04,1666.99,1668.6,1655.0,1668.6,1785402.0
