Date,Open,High,Low,Close,Volume
03/13/2025,"1,480.00","1,481.50","1,470.00","1,478.49","47,709"
03/12/2025,"1,477.00","1,483.53","1,470.10","1,482.00","3,268"
03/11/2025,"1,489.00","1,490.00","1,470.00","1,477.00","100,415"
03/07/2025,"1,487.99","1,489.99","1,481.50","1,489.00","29,803"
03/06/2025,"1,484.00","1,490.00","1,484.00","1,488.99","2,975"
03/05/2025,"1,484.02","1,490.00","1,484.00","1,485.00","12,884"
03/04/2025,"1,488.00","1,495.80","1,484.02","1,486.00","3,020"
03/03/2025,"1,489.00","1,490.00","1,484.00","1,488.00","5,607"
02/28/2025,"1,489.00","1,495.00","1,484.00","1,489.00","4,487"
02/27/2025,"1,490.00","1,490.00","1,483.10","1,489.00","3,211"
02/26/2025,"1,484.50","1,490.70","1,484.00","1,490.00","3,882"
02/25/2025,"1,483.01","1,495.65","1,483.00","1,484.50","22,852"
02/24/2025,"1,488.00","1,490.00","1,483.02","1,489.50","6,476"
02/21/2025,"1,487.57","1,493.00","1,487.00","1,488.00","3,436"
02/20/2025,"1,482.00","1,488.00","1,480.00","1,487.97","5,362"
02/19/2025,"1,485.00","1,491.39","1,482.00","1,484.00","10,369"
02/18/2025,"1,482.00","1,491.39","1,482.00","1,485.00","3,705"
02/17/2025,"1,493.00","1,493.00","1,484.00","1,485.00","8,698"
02/14/2025,"1,493.00","1,498.49","1,485.02","1,487.00","5,154"
02/13/2025,"1,490.00","1,494.00","1,485.00","1,493.00","7,041"
02/12/2025,"1,487.00","1,494.50","1,483.00","1,490.00","11,665"
02/11/2025,"1,486.98","1,489.00","1,483.00","1,487.94","4,172"
02/10/2025,"1,487.00","1,487.00","1,480.00","1,486.98","17,494"
02/07/2025,"1,487.00","1,489.60","1,482.02","1,487.00","7,028"
02/06/2025,"1,485.00","1,489.00","1,483.00","1,486.00","960,794"
02/05/2025,"1,502.00","1,506.77","1,486.01","1,492.00","75,584"
02/04/2025,"1,508.00","1,512.00","1,500.00","1,502.00","183,805"
02/03/2025,"1,510.79","1,514.97","1,505.00","1,508.00","16,324"
01/31/2025,"1,507.00","1,513.98","1,506.91","1,510.79","13,327"
01/30/2025,"1,508.00","1,512.90","1,507.00","1,507.00","18,194"
01/29/2025,"1,508.00","1,512.89","1,507.00","1,507.99","6,161"
01/28/2025,"1,506.00","1,509.00","1,505.01","1,507.97","7,702"
01/27/2025,"1,513.00","1,513.94","1,503.00","1,506.00","70,992"
01/24/2025,"1,512.99","1,515.98","1,510.02","1,513.95","8,170"
01/23/2025,"1,511.00","1,516.96","1,506.99","1,512.99","29,157"
01/22/2025,"1,510.00","1,520.05","1,506.99","1,511.00","11,647"
01/21/2025,"1,514.00","1,515.00","1,508.51","1,512.00","9,137"
01/20/2025,"1,512.00","1,515.00","1,508.50","1,514.00","7,489"
01/17/2025,"1,515.00","1,518.90","1,508.51","1,511.00","14,996"
01/16/2025,"1,519.60","1,520.50","1,512.10","1,515.15","5,921"
01/15/2025,"1,512.00","1,520.00","1,510.00","1,519.48","7,230"
01/14/2025,"1,516.00","1,518.00","1,508.50","1,512.00","5,511"
01/13/2025,"1,512.00","1,519.98","1,507.00","1,516.00","11,605"
01/10/2025,"1,511.00","1,515.02","1,509.00","1,514.00","11,877"
01/09/2025,"1,515.00","1,515.00","1,510.00","1,512.00","22,612"
01/08/2025,"1,520.50","1,523.00","1,514.01","1,515.02","30,960"
01/06/2025,"1,521.00","1,525.00","1,516.00","1,520.80","45,468"
